Date,Eureka,Lake McDonald,Quartz Creek,Trout Creek,Arlee,Superior,Rock Creek,Condon,Alberton,Drummond,Lolo,Stevensville,Potomac,Heart Butte,Florence,Philipsburg,Lincoln,Cut Bank,White Sulphur Springs,Clearwater,Rainy Lake,Darby
2017-08-01,3.0833333333333335,,400.5416666666667,,35.2,399.2,,,,,28.0,,,,,54.2,,,,,,
2017-08-02,6.666666666666667,,240.66666666666666,,,240.7,,,30.7,,32.4,,,,39.666666666666664,21.6,,,,,,
2017-08-03,9.166666666666666,,156.58333333333334,,40.4,156.3,,,14.9,,25.3,,,,20.458333333333332,8.8,,,,,,
2017-08-04,37.958333333333336,,471.0869565217391,,70.6,,,,34.8,,52.3,,,,38.583333333333336,54.5,,,,,,
2017-08-05,31.291666666666668,,198.33333333333334,,51.0,198.1,,,,,31.0,,,,33.083333333333336,21.8,,,,14.0,,
2017-08-06,32.25,,102.16666666666667,,33.0,101.0,,,13.0,,26.9,,,,26.541666666666668,10.2,,,,17.0,,
2017-08-07,33.791666666666664,,135.75,,,135.1,,,16.0,,48.2,,,,29.791666666666668,59.8,,,,14.0,,
2017-08-08,61.083333333333336,,146.52173913043478,,43.2,,,,16.9,,41.8,,,,28.666666666666668,26.2,,,,23.0,,
2017-08-09,49.958333333333336,,127.30434782608695,,39.3,,,,22.4,,54.7,,,,64.66666666666667,29.8,,,,19.0,,
2017-08-10,48.083333333333336,,108.375,,45.4,109.3,,,33.0,,79.4,,,,50.458333333333336,56.6,,,,23.0,,
2017-08-11,42.75,,132.66666666666666,,61.9,132.8,,,39.8,,93.0,,,,62.25,68.3,,,,32.0,46.0,
2017-08-12,47.291666666666664,,126.125,,61.6,131.0,,39.8,,,97.1,,,,77.375,74.3,,,,,40.0,
2017-08-13,45.666666666666664,,108.82608695652173,,37.2,,,39.2,,,52.5,,,,47.791666666666664,47.2,,,,38.0,39.0,
2017-08-14,28.75,,,,28.7,13.7,,12.3,18.5,,11.4,,,,24.0,11.4,,,,21.0,15.0,
2017-08-15,35.916666666666664,,,,22.3,50.7,,7.2,19.6,15.0,27.1,,,,34.25,15.9,,,,17.0,10.0,
2017-08-16,33.375,,,,36.5,69.9,,17.3,32.9,30.2,37.3,,,,36.583333333333336,41.7,,,,23.0,24.0,
2017-08-17,32.0,,,,24.4,47.2,,9.2,41.8,42.0,28.7,,,,17.541666666666668,41.2,,,,28.0,14.0,
2017-08-18,32.875,,,,40.3,48.0,,,51.6,50.2,48.9,,,,33.291666666666664,47.3,30.0,,,27.0,39.0,
2017-08-19,25.0,,,,17.0,,,8.2,85.8,67.9,,,,,49.0,25.7,20.0,,,12.0,11.0,
2017-08-20,41.166666666666664,,,,19.7,17.8,,10.1,,28.0,,,,,120.29166666666667,60.3,31.0,,,27.0,19.0,
2017-08-21,35.666666666666664,,,,21.7,15.9,,12.9,15.4,41.5,,,,,93.41666666666667,57.3,32.0,,,26.0,15.0,
2017-08-22,34.458333333333336,,,,37.3,23.8,,25.1,22.3,23.7,220.3,,,,167.83333333333334,26.7,46.0,,,26.0,35.0,
2017-08-23,28.958333333333332,,,,62.8,,71.7,58.4,,49.8,201.0,,,,369.0416666666667,95.2,60.0,,27.0,57.0,56.0,
2017-08-24,38.833333333333336,,,,44.0,43.1,53.6,31.4,47.1,,84.6,,,,153.04166666666666,60.1,39.0,,15.0,52.0,25.0,
2017-08-25,26.625,,,,23.2,16.3,,,15.3,23.4,67.5,28.3,,,99.20833333333333,29.4,28.0,,25.0,,13.0,
2017-08-26,30.0,,,,17.3,9.6,23.4,5.0,10.1,21.3,36.7,37.2,,,133.16666666666666,36.0,33.0,,14.0,32.0,5.0,
